BV号,标题,UP主,UP主ID,播放量,弹幕数,点赞数,投币数,收藏数,分享数,时长秒,发布时间戳,分区,简介,排行榜分区,点赞率,投币率,收藏率,发布日期,时长分钟
BV1CEZHYpEyf,三叶大嘴花，僵尸吹进嘴！,潜艇伟伟迷,97213827,1458948,814,64208,1895,2740,679,284,1743476400,单机游戏,"新植物：三叶大嘴花
白卡，价格150，冷却15秒
当前方一行范围内有可吞噬的小体型僵尸时，转动扇叶将其吸过来吃掉；
消化完毕时向前吹风，对本行前方的全部小体型僵尸造成2格击退。",游戏,0.04400979335795381,0.0012988811115954783,0.0018780655650509819,2025-04-01 03:00:00,4.733333333333333
BV11mZBYqEbS,评分4.3！没有人类了！Ave Mujica颂乐人偶完结吐槽！,瓶子君152,730732,4447283,12498,196110,71375,48735,38611,837,1743333255,手机游戏,点个关注再走吧,游戏,0.04409658661254523,0.016049124825202266,0.010958376159106583,2025-03-30 11:14:15,13.95
BV1HXZ4YvEUm,载入史册！100%减伤，弑神三星五费。,云顶猫咪,482818849,1325911,450,36753,13645,1622,1441,296,1743478158,电子竞技,"欢迎加入团子大家族
热爱云顶
深度研究每一张低费卡的玩法，发掘到极致。
专注于整活类、赌狗类视频，分享不一样的玩法。

BGM：可以用某狗听音识曲
努力每天更新。
评论区每一条都会点赞、回复。
重要的",游戏,0.027719055049697905,0.010291037633747665,0.0012233098601640683,2025-04-01 03:29:18,4.933333333333334
BV1BHZ4YdE6k,2025年的FPS游戏画质应该是怎样的？,黑镖客梦回,10558098,1133308,854,41638,1292,4746,1953,396,1743504002,单机游戏,"期待已久的暗区端游终于上了，
感兴趣的朋友4月29号可以关注一波",游戏,0.03674023301697332,0.0011400254829225594,0.004187740667144325,2025-04-01 10:40:02,6.6
BV1TQZhYQEXe,明明开发的是游戏！玩家却催厂商去做卫生巾？,张子zi,85649095,1734969,5131,42638,2634,5798,2202,295,1743328800,手机游戏,,游戏,0.024575655242255048,0.001518182745628308,0.003341846453740672,2025-03-30 10:00:00,4.916666666666667
BV1ZGZnYBEHg,“你们可能不相信，但这就是绝区零玩家的日常”,ODer刹,101671287,1241578,551,160322,44829,51543,3550,77,1743418800,手机游戏,制作不易 还请三连鼓励支持！,游戏,0.12912761018639182,0.03610647095873155,0.041514105436790925,2025-03-31 11:00:00,1.2833333333333334
BV1cyZnY2Eu7,并不是当上火影才能被认可 而是被认可的人才能成为火影 去年顶着黑眼圈兢兢业业做忍者的千代 也许也曾天真的以为 只要自己足够努力就能让火影圈变得更好...,是古灵大天才,487969417,1043709,18962,129598,7928,14436,2234,10,1743408689,手机游戏,-,游戏,0.12417062610363616,0.0075959870040403984,0.013831441522493338,2025-03-31 08:11:29,0.16666666666666666
BV1v9oZY3Efq,价值129的MC官方食谱，能还原MC的食物吗？【游戏之外】,史蒂猪StevenPig,390527713,3336242,2728,213249,15852,47896,5056,571,1743210000,单机游戏,"好久不见，我回来啦！
接下去我会努力持续运营的，希望大家多多照顾猪猪，比较不擅长的领域，也希望多多谅解~",游戏,0.06391892434661514,0.00475145388134314,0.014356272716427644,2025-03-29 01:00:00,9.516666666666667
BV1p6ZnYJEio,盘点地铁逃生4月8号新版本更新六个优化？提前了解新版本改动！,千阳的地铁逃生,650368847,1299083,399,5918,1188,49274,88,151,1743415249,网络游戏,一键三连加投币是对主播最大的帮助！再次感谢各位小伙伴的支持与陪伴，关注主播看地铁新版本玩法教学攻略不迷路,游戏,0.004555521086797379,0.0009144912218849758,0.03792983204306422,2025-03-31 10:00:49,2.5166666666666666
BV184ZrYUEwt,挑战拿捏个大主播酷二狗 vs 卤蛋,地铁逃生丨一哥,1864466988,5078726,89,6274,1502,53872,80,1009,1743343268,手机游戏,,游戏,0.0012353491800896523,0.000295743460072467,0.010607384607872132,2025-03-30 14:01:08,16.816666666666666
BV15dZEYhErZ,和几十名玩家一起，吃一顿欠了十二年的饭,小橙子姐姐解说,35734399,695114,252,72209,648,7531,173,258,1743391922,网络游戏,@逆战未来  逆战未来快过来~两只耳朵竖起来！,游戏,0.10388080228566825,0.0009322211896178181,0.010834194103413254,2025-03-31 03:32:02,4.3
BV1BiZWYUEXi,融合植物203：重装窝炬与焱爆窝瓜！,蓝飘飘fly,3546619314178489,787924,1687,35122,3888,3371,565,577,1743462000,单机游戏,"难度6：皮肤挑战限定，
在难度5的基础上：
僵尸血量+40%
第一波僵尸到达时间：15秒→3秒
自然刷怪更新的间隔：30秒→10秒

皮肤系统
究极樱桃机枪射手→樱桃指挥官
究极火爆窝炬→重装窝炬
火",游戏,0.04457536513673908,0.004934486067184145,0.004278331412674319,2025-03-31 23:00:00,9.616666666666667
BV1vNZqY7EK6,绝密巴克什跑刀凑战备教学,小懿暗区导师,481672548,1820309,351,73102,19050,166264,1883,161,1743316906,手机游戏,-,游戏,0.040159115842420164,0.010465256173539767,0.09133833871062551,2025-03-30 06:41:46,2.683333333333333
BV1V9ZzYpENN,赛博败家子儿星铁：送240万设定集，把印刷厂整破防了｜顺便讲点背后的商业逻辑,退役编辑雨上,1105429038,1856915,4754,99824,7747,14714,13274,542,1743326160,网络游戏,240万设定集，1亿成本，传统出版直接炸穿。背后其实藏着一套完整的用户运营策略。,游戏,0.05375798030604524,0.004171973407506536,0.007923895277920636,2025-03-30 09:16:00,9.033333333333333
BV15dZrYfEfk,我们真是太有凝聚力了！,白泽-三角洲行动,3493274574653579,3754526,242,75179,2611,62703,315,201,1743392400,网络游戏,,游戏,0.020023566223805616,0.0006954273322384769,0.016700643436748073,2025-03-31 03:40:00,3.35
