模型,准确率,精确率,召回率,F1分数,AUC,CV均值,CV标准差,综合得分
随机森林,0.9066666666666666,0.9100346020761245,0.8976109215017065,0.9037800687285223,0.9719736300874919,0.8921428571428571,0.015551100755055162,0.9180131778121025
梯度提升,0.8883333333333333,0.8766666666666667,0.8976109215017065,0.8870151770657673,0.9595446409711954,0.8921428571428571,0.010449099170234151,0.9018341479077339
AdaBoost,0.8283333333333334,0.8467153284671532,0.7918088737201365,0.818342151675485,0.8874164823070337,0.8100000000000002,0.016193977212506608,0.8345232339006283
逻辑回归,0.8166666666666667,0.8256227758007118,0.7918088737201365,0.8083623693379791,0.8820135407054952,0.7999999999999999,0.01481174382380551,0.8248948452461977
SVM,0.9433333333333334,0.9480968858131488,0.9351535836177475,0.9415807560137457,0.9878044713232761,0.9349999999999999,0.009147320339189784,0.9511938060202503
