Rank,Title,Rating,Votes,Rating_Range,Votes_Range
122,剪刀手爱德华,8.7,0,8.5-9.0,<100K
123,勇敢的心,8.9,0,8.5-9.0,<100K
124,时空恋旅人,8.8,0,8.5-9.0,<100K
125,消失的爱人,8.7,0,8.5-9.0,<100K
126,倩女幽魂,8.8,0,8.5-9.0,<100K
127,无人知晓,9.1,0,>9.0,<100K
128,驯龙高手,8.8,0,8.5-9.0,<100K
129,花样年华,8.8,0,8.5-9.0,<100K
130,傲慢与偏见,8.7,0,8.5-9.0,<100K
131,新世界,8.9,0,8.5-9.0,<100K
132,完美的世界,9.1,0,>9.0,<100K
133,玩具总动员3,8.9,0,8.5-9.0,<100K
134,一个叫欧维的男人决定去死,8.9,0,8.5-9.0,<100K
135,阳光灿烂的日子,8.8,0,8.5-9.0,<100K
136,小森林 夏秋篇,9.0,0,8.5-9.0,<100K
137,天使爱美丽,8.7,0,8.5-9.0,<100K
138,色，戒,8.7,0,8.5-9.0,<100K
139,怪兽电力公司,8.8,0,8.5-9.0,<100K
140,教父3,9.0,0,8.5-9.0,<100K
141,侧耳倾听,8.9,0,8.5-9.0,<100K
142,哪吒闹海,9.2,0,>9.0,<100K
143,请以你的名字呼唤我,8.8,0,8.5-9.0,<100K
144,九品芝麻官,8.8,0,8.5-9.0,<100K
145,幸福终点站,8.8,0,8.5-9.0,<100K
146,被解救的姜戈,8.8,0,8.5-9.0,<100K
147,釜山行,8.6,0,8.5-9.0,<100K
148,神偷奶爸,8.7,0,8.5-9.0,<100K
149,小森林 冬春篇,9.0,0,8.5-9.0,<100K
150,喜宴,9.0,0,8.5-9.0,<100K
151,萤火之森,8.8,0,8.5-9.0,<100K
152,告白,8.8,0,8.5-9.0,<100K
153,玛丽和麦克斯,9.0,0,8.5-9.0,<100K
154,七武士,9.3,0,>9.0,<100K
155,头号玩家,8.6,0,8.5-9.0,<100K
156,模仿游戏,8.8,0,8.5-9.0,<100K
157,大鱼,8.8,0,8.5-9.0,<100K
158,惊魂记,9.0,0,8.5-9.0,<100K
159,射雕英雄传之东成西就,8.7,0,8.5-9.0,<100K
160,血战钢锯岭,8.7,0,8.5-9.0,<100K
161,心灵奇旅,8.7,0,8.5-9.0,<100K
162,你的名字。,8.5,0,8.0-8.5,<100K
163,背靠背，脸对脸,9.5,0,>9.0,<100K
164,我是山姆,9.0,0,8.5-9.0,<100K
165,阳光姐妹淘,8.8,0,8.5-9.0,<100K
166,恐怖直播,8.7,0,8.5-9.0,<100K
167,黑客帝国3：矩阵革命,8.8,0,8.5-9.0,<100K
168,小丑,8.7,0,8.5-9.0,<100K
169,三块广告牌,8.7,0,8.5-9.0,<100K
170,电锯惊魂,8.7,0,8.5-9.0,<100K
171,谍影重重3,8.9,0,8.5-9.0,<100K
172,机器人之梦,9.1,0,>9.0,<100K
173,达拉斯买家俱乐部,8.8,0,8.5-9.0,<100K
174,无间道2,8.8,0,8.5-9.0,<100K
175,末路狂花,9.0,0,8.5-9.0,<100K
176,高山下的花环,9.5,0,>9.0,<100K
177,疯狂原始人,8.7,0,8.5-9.0,<100K
178,绿里奇迹,8.9,0,8.5-9.0,<100K
179,爱在午夜降临前,8.9,0,8.5-9.0,<100K
180,疯狂的石头,8.6,0,8.5-9.0,<100K
181,海街日记,8.8,0,8.5-9.0,<100K
182,雨中曲,9.1,0,>9.0,<100K
183,2001太空漫游,8.9,0,8.5-9.0,<100K
184,风之谷,8.9,0,8.5-9.0,<100K
185,上帝之城,9.0,0,8.5-9.0,<100K
186,心迷宫,8.7,0,8.5-9.0,<100K
187,英雄本色,8.6,0,8.5-9.0,<100K
188,记忆碎片,8.7,0,8.5-9.0,<100K
189,纵横四海,8.8,0,8.5-9.0,<100K
190,无敌破坏王,8.7,0,8.5-9.0,<100K
191,卢旺达饭店,8.9,0,8.5-9.0,<100K
192,小偷家族,8.7,0,8.5-9.0,<100K
193,东京教父,9.0,0,8.5-9.0,<100K
194,恐怖游轮,8.5,0,8.0-8.5,<100K
195,牯岭街少年杀人事件,8.9,0,8.5-9.0,<100K
196,冰川时代,8.7,0,8.5-9.0,<100K
197,魔女宅急便,8.7,0,8.5-9.0,<100K
198,芙蓉镇,9.3,0,>9.0,<100K
199,忠犬八公物语,9.2,0,>9.0,<100K
200,岁月神偷,8.7,0,8.5-9.0,<100K
201,荒蛮故事,8.7,0,8.5-9.0,<100K
202,遗愿清单,8.7,0,8.5-9.0,<100K
203,大佛普拉斯,8.7,0,8.5-9.0,<100K
204,源代码,8.6,0,8.5-9.0,<100K
205,疯狂的麦克斯4：狂暴之路,8.7,0,8.5-9.0,<100K
206,花束般的恋爱,8.6,0,8.5-9.0,<100K
207,你看起来好像很好吃,8.9,0,8.5-9.0,<100K
208,贫民窟的百万富翁,8.6,0,8.5-9.0,<100K
209,可可西里,8.9,0,8.5-9.0,<100K
210,白日梦想家,8.6,0,8.5-9.0,<100K
211,城市之光,9.3,0,>9.0,<100K
212,波西米亚狂想曲,8.6,0,8.5-9.0,<100K
213,爆裂鼓手,8.6,0,8.5-9.0,<100K
214,东邪西毒,8.6,0,8.5-9.0,<100K
215,青蛇,8.6,0,8.5-9.0,<100K
216,爱乐之城,8.4,0,8.0-8.5,<100K
217,哈利·波特与死亡圣器(上),8.6,0,8.5-9.0,<100K
218,无耻混蛋,8.7,0,8.5-9.0,<100K
219,终结者2：审判日,8.8,0,8.5-9.0,<100K
220,黑天鹅,8.6,0,8.5-9.0,<100K
221,大红灯笼高高挂,8.8,0,8.5-9.0,<100K
222,初恋这件小事,8.5,0,8.0-8.5,<100K
223,新龙门客栈,8.7,0,8.5-9.0,<100K
224,人工智能,8.7,0,8.5-9.0,<100K
225,千钧一发,8.8,0,8.5-9.0,<100K
226,雨人,8.7,0,8.5-9.0,<100K
227,崖上的波妞,8.6,0,8.5-9.0,<100K
228,虎口脱险,8.9,0,8.5-9.0,<100K
229,罗生门,8.8,0,8.5-9.0,<100K
230,哈利·波特与凤凰社,8.6,0,8.5-9.0,<100K
231,彗星来的那一夜,8.6,0,8.5-9.0,<100K
232,恋恋笔记本,8.5,0,8.0-8.5,<100K
233,海边的曼彻斯特,8.6,0,8.5-9.0,<100K
234,真爱至上,8.5,0,8.0-8.5,<100K
235,火星救援,8.5,0,8.0-8.5,<100K
236,黑客帝国2：重装上阵,8.7,0,8.5-9.0,<100K
237,步履不停,8.8,0,8.5-9.0,<100K
238,奇迹男孩,8.6,0,8.5-9.0,<100K
239,千年女优,8.8,0,8.5-9.0,<100K
240,冰雪奇缘,8.5,0,8.0-8.5,<100K
241,战争之王,8.7,0,8.5-9.0,<100K
242,谍影重重2,8.7,0,8.5-9.0,<100K
243,蜘蛛侠：平行宇宙,8.6,0,8.5-9.0,<100K
244,攻壳机动队,9.0,0,8.5-9.0,<100K
245,血钻,8.7,0,8.5-9.0,<100K
246,魂断蓝桥,8.8,0,8.5-9.0,<100K
247,隐藏人物,8.9,0,8.5-9.0,<100K
248,小姐,8.5,0,8.0-8.5,<100K
249,房间,8.7,0,8.5-9.0,<100K
250,血观音,8.6,0,8.5-9.0,<100K
